"STANICA"	"Y"	"X"	"H"	"EROZIJA"
"BANATSKI KARLOVAC"	7502485.87716805	4989492.37484721	90	774.169410489032
"BEOGRAD OPSERVATORIJA"	7458191.82577751	4961850.29178333	132	759.211169234266
"VALJEVO"	7413913.52756177	4904504.22365502	174	979.265132524155
"VELIKO GRADISTE"	7539712.22959761	4956276.4534753	80	891.862504727365
"VRANJE"	7575668.49611596	4712155.29823837	433	811.312273048791
"VRSAC"	7523713.14812281	5000647.25450788	85	758.461205328279
"DIMITROVGRAD"	7642752.872643	4765435.64145045	448	777.023858966319
"ZAJECAR"	7602979.14431788	4860285.28572003	144	781.806146487933
"ZLATIBOR"	7396998.60559583	4843627.93862712	1029	1289.90266748511
"ZRENJANIN"	7451585.14893611	5028574.71383538	80	748.860347409528
"KIKINDA"	7458963.62242738	5078534.04491287	81	711.066078912942
"KOPAONIK"	7483883.20905701	4792856.54130595	1711	1441.33616723048
"KOSUTNJAK"	7454212.27863947	4958543.92806586	203	791.591284525402
"KRAGUJEVAC"	7494507.56591118	4876160.24582808	181	820.576588310074
"KRALJEVO"	7475944.96727586	4841761.54479006	219	834.79143550286
"KRUSEVAC"	7526772.66995555	4825104.66893211	166	932.269267293513
"KURSUMLIJA"	7522082.47772692	4776208.20465465	384	807.850179848611
"LESKOVAC"	7577596.25362273	4759946.26414142	231	810.61845315921
"LOZNICA"	7359438.69260165	4933240.43538598	121	966.725641899512
"NEGOTIN"	7622348.58399772	4899512.53763654	42	745.121614858451
"NIS"	7573101.89526752	4798781.63890201	202	771.254254235843
"PALIC"	7405028.37366387	5106920.01590257	102	685.311592800552
"POZEGA"	7422129.50571704	4856619.78872412	311	1000.19818070161
"RIMSKI SANCEVI"	7408396.88962787	5020165.01368352	86	770.744812044257
"RC BESNJAJA"	7504128.43406689	4872825.67263487	552	980.690428285072
"RC VALJEVO"	7414045.61120875	4914503.97676291	378	970.294281674999
"RC KUKAVICA"	7577846.1222661	4737730.07758139	1438	1271.38042143213
"RC KRUSEVAC"	7520294.1202922	4830637.04760088	404	995.736629941802
"RC NIS"	7577068.44290407	4806602.72406955	807	927.35556435868
"RC PETROVAC"	7526438.22243261	4909541.19055019	279	802.4043835003
"RC SJENICA"	7416504.81112907	4792243.85169951	1240	1062.99092680628
"RC UZICE"	7406096.63380403	4860161.43177953	822	1114.5359065277
"SJENICA"	7418940.09067969	4792214.18940824	1038	746.39743233826
"SMEDEREVSKA PALANKA"	7496135.08513329	4913934.88351402	121	668.585342335925
"SOMBOR"	7356240.47148896	5071175.00047024	87	761.806856051871
"SREMSKA MITROVICA"	7385845.5074496	4987185.49045139	81	616.204110932458
"SURCIN"	7443180.10513891	4964188.730139	99	726.791239115713
"CUPRIJA"	7530629.47167481	4865116.62642135	123	851.797234871633
"CRNI VRH"	7577741.64913044	4887722.6748398	1037	905.173731038138
"BACKA TOPOLA"	7394426.18914602	5074853.87867604	110	794.403191757023
"LAZAREVAC"	7440346.15990314	4914209.28208848	161	842.521802668305
"SABAC"	7397185.72265941	4956982.22455846	77	790.034332771404
"INDJIJA"	7427653.76192895	4989906.44684178	114	783.804693401661
"IVANJICA"	7437929.93906018	4826453.99843131	468	1003.96250749744
"MAJDANPEK"	7574176.74074673	4919906.97551128	498	977.180264342901
"KNJAZEVAC"	7602702.02206199	4825832.68306253	263	807.642314165685
